Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Source Files
FPGA-Accelerated Feature Extraction for an AI-Based Automatic Modulation Classification System,F. F. Nascimento; G. Cavalcanti Batista; B. C. S. Sanches; O. Saotome,"Electronic Engineering Division, Aeronautics Institute of Technology (ITA), Brazil; Division of Material and Structural Mechanics, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Electronic Systems, University of São Paulo (USP), São Paulo, Brazil; Electronic Engineering Division, Aeronautics Institute of Technology (ITA), Brazil",2026 IEEE International Symposium on Circuits and Systems (ISCAS),18 Jun 2026,2026,,,768,772,"Real-time Automatic Modulation Classification (AMC) is limited by the high computational cost of deep learning models on edge devices. This work validates the feasibility of a low-cost, feature-based AMC system designed for future full hardware implementation. The system’s robustness is demonstrated through a hybrid HW/SW approach, where 59 features extracted by an FPGA IP core feed a 4-bit quantized lightweight MLP neural network classifier. The extractor’s implementation on a Zynq-7020 SoC is highly efficient (30µs latency, 107mW), and the final system achieves 85.11% mean accuracy with minimal degradation. The results validate the approach as an efficient and low-cost solution, establishing a practical path for the implementation of real-time AMC on edge devices.",2158-1525,979-8-3315-7769-8,10.1109/ISCAS66217.2026.11562845,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11562845,AMC;Feature-based;FPGA;Hardware Accelerator;RF Modulation Recognition,Hardware;Modulation;Modeling;Printing;Accuracy;Signal to noise ratio;IP networks;Conferences;Convolutional neural networks;Equations,,,,26.0,IEEE,18 Jun 2026,24-28 May 2026,24-28 May 2026,IEEE,IEEE Conferences,S1-2B IEEE.csv; S1-2C IEEE.csv
"Optimizing Building Footprint Extraction from UAV Imagery Using Pretrained Deep Learning Models: A Case Study in University of Phayao, Thailand",K. Maomool; S. Suttara; S. Lerk-u-suke,"Department of Geographic Information Science, School of Information and Communication Technology, University of Phayao, Phayao, Thailand; Western University, Kanchanaburi, Thailand; Department of Geographic Information Science, School of Information and Communication Technology, University of Phayao, Phayao, Thailand",2024 Geoinformatics for Spatial-Infrastructure Development in Earth and Allied Sciences (GIS-IDEAS),16 May 2025,2024,,,1,5,"This study investigates an optimization of deep learning models, the ArcGIS pretrained model (Building Foorprint Extraction-USA), for detecting building footprints from UAV orthorectified images, emphasizing the influence of parameters including threshold, padding, and tile size. Experimental results show increasing the threshold value significantly reduces the false positives, with higher thresholds (0.7-0.9) achieving correctness levels of up to 90%, while the lower threshold values result in correctness around 40-60%. Padding values of 600–800 improve detection accuracy by minimizing false positives through the acquisition of additional contextual information surrounding building structures. Additionally, larger tile sizes improve detection efficiency, while smaller tiles provide finer resolution but can increase false positives. The findings reveal that balancing these parameters is critical for optimizing building footprint extraction, contributing valuable insights for geospatial analysis in urban planning and remote sensing applications.",,979-8-3315-0424-3,10.1109/GIS-IDEAS63212.2024.10990873,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10990873,deep learning;pretrained model;building footprint;segmentation;extraction,Deep learning;Adaptation models;Accuracy;Sensitivity;Tiles;Buildings;Feature extraction;Autonomous aerial vehicles;Geospatial analysis;Context modeling,,,,19.0,IEEE,16 May 2025,11-13 Dec. 2024,11-13 Dec. 2024,IEEE,IEEE Conferences,S1-2D IEEE.csv
Geospatial Deep Learning Approach for Roof Type Mapping Using UAV Images,S. B; V. J; S. R; J. E; S. R; D. R,"Department of Mathematics, St. Joseph's College of Engineering, Chennai, India; Department of Computer Science and Engineering, Chennai Institute of Technology, Chennai, India; Department of Computer Science and Engineering(AI&ML), Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Avadi, Chennai, India; Department of Mathematics, Panimalar Engineering College, Chennai, India; Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, India; Department of Computing Technologies, School of Computing, SRM Institute of Science and Technology, Chennai, India",2026 Third International Conference on Networking and Communications (ICNWC),19 May 2026,2026,,,1,8,"In the current era of the development of Unmanned Aerial Vehicle (UAV) technologies, building structures, being the object of geospatial analysis, can be studied precisely due to high-resolution aerial imagery. Nevertheless, current roof classification procedures usually have recourse to low-resolution satellite data or visual interpretation, which leads to a low degree of extracting structural information and low robustness. Moreover, the traditional deep learning models often overlook spatial-geometric correlations and multiple-scale contextual features, which results in error of the classification of similar type roofs. In a bid to overcome these constraints, this paper suggests a Multi-Scale Geo-Aware CNN with Spatial Feature Fusion (MSGCNN-SFF) framework. The model combines the multi-scale feature learning and geospatial awareness to learn local texture features and global structural features of roofs using UAV images. The spatial feature fusion module improves the reliability of classification through integrating geometric, spectral, and contextual spatial features and therefore overcoming the problem of scale variation and structural ambiguity in the current approaches. Experimental results show that MSGCNN-SFF is much more effective than the conventional deep learning methods in classifying, establishing, and maintaining high classifier accuracy, spatial consistency, and strength in complex urban environments. The framework offers credible roof-type mapping that facilitates risk analysis and decision-making during urban development that is climate-resilient. It achieved higher classification accuracy (94%), spatial consistency (0.86±0.02), structural similarity detection (84%), and multi-scale robustness (0.88±0.02).",,979-8-3195-4298-4,10.1109/ICNWC68145.2026.11518322,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11518322,UAV Imagery;Roof Type Classification;Geospatial Deep Learning;Multi-Scale CNN;Spatial Feature Fusion;Disaggregated data;Urban Risk Assessment,Autonomous aerial vehicles;Modeling;Deep learning;Printing;Equations;Urban areas;Accuracy;Remote sensing;Convolutional neural networks;Machine learning,,,,21.0,IEEE,19 May 2026,6-8 April 2026,6-8 April 2026,IEEE,IEEE Conferences,S1-2D IEEE.csv
Building Extraction From LiDAR Data Applying Deep Convolutional Neural Networks,E. Maltezos; A. Doulamis; N. Doulamis; C. Ioannidis,"School of Rural and Surveying Engineering, National Technical University of Athens, Zografou, Greece; School of Rural and Surveying Engineering, National Technical University of Athens, Zografou, Greece; School of Rural and Surveying Engineering, National Technical University of Athens, Zografou, Greece; School of Rural and Surveying Engineering, National Technical University of Athens, Zografou, Greece",IEEE Geoscience and Remote Sensing Letters,27 Dec 2018,2019,16,1.0,155,159,"Deep learning paradigm has been shown to be a very efficient classification framework for many application scenarios, including the analysis of Light Detection and Ranging (LiDAR) data for building detection. In fact, deep learning acts as a set of mathematical transformations, encoding the raw input data into appropriate forms of representations that maximize the classification performance. However, it is clear that mathematical computations alone, even highly nonlinear, are not adequate to model the physical properties of a problem, distinguishing, for example, the building structures from vegetation. In this letter, we address this difficulty by augmenting the raw LiDAR data with features coming from a physical interpretation of the information. Then, we exploit a deep learning paradigm based on a convolutional neural network model to find out the best input representations suitable for the classification. As test sites, three complex urban study areas with various kinds of building structures through the LiDAR data set of Vaihingen, Germany were selected. Our method has been evaluated in the context of “ISPRS Test Project on Urban Classification and 3-D Building Reconstruction.” Comparisons with traditional methods, such as artificial neural networks and support vector machine-based classifiers, indicate the outperformance of the proposed approach in terms of robustness and efficiency.",1558-0571,,10.1109/LGRS.2018.2867736,EU H2020 Project TERPSICHORE “Transforming Intangible Folkloric Performing Arts into Tangible Choreographic Digital Objects”(grant numbers:691218); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465968,Building classification;convolutional neural networks (CNNs);Light Detection and Ranging (LiDAR);machine learning;point cloud,Laser radar;Buildings;Machine learning;Vegetation mapping;Vegetation;Feature extraction;Data models,,88.0,,16.0,IEEE,14 Sep 2018,Jan. 2019,,IEEE,IEEE Journals,S1-2D IEEE.csv
Building Structure Optimization: A Framework Based on Multi-Agent Reinforcement Learning,J. Zhang; X. Li; P. A. Mariadas; L. Wang; C. Yu; D. Wang; C. Li; L. Qian,"Taylor's University, Malaysia; Taylor's University, Malaysia; Taylor's University, Malaysia; Zhejiang College of Construction, Zhejiang, China; Zhejiang College of Construction, Zhejiang, China; Zhejiang College of Construction, Zhejiang, China; Zhejiang College of Construction, Zhejiang, China; Zhejiang Construction Technician College, Zhejiang, China",2026 9th International Conference on Advanced Algorithms and Control Engineering (ICAACE),13 May 2026,2026,,,1812,1816,"The integration of artificial intelligence algorithms with structural optimization in the changing world of intelligent construction becomes one of the transformative strategies for improving efficiency and sustainability in the field of architectural works. This paper addresses the ongoing challenges of multiobjective trade-offs and computational complexity in architectural topology optimization by proposing a more advanced multiagent reinforcement learning framework. Architects utilize preexisting Graph Neural Networks to encode the complex geometric structure of buildings and the Transformer modules to manage constraints, providing strong multi-modal representations. Dedicated agents, i.e., ones that focus on design variables like material, size, and shape, use Actor-Critic mechanisms to gradually improve upon parameters and thus avoid the drawbacks of local optima, which are common in traditional methods. Synergy among the agents is attained based on attention-based exchanges, which support equilibrated results among the objectives. To increase flexibility under different conditions, the training system has hybrid reward systems plus Monte Carlo estimation and contrastive regularization systems. Strict evaluations on different architectural standards highlight significant improvements in the performance of the optimization process and the Pareto optimality over the standard baselines. The importance of elements constituting the analysis ablation is proven through ablation analysis, and the graphical representation sheds light on the finegrained stress profile and fast convergence. Not only does this approach speed up processes in the design sphere, but it also promotes green engineering that sets another benchmark in the era of AI-empowered architecture.",,979-8-3315-8325-5,10.1109/ICAACE69793.2026.11508877,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11508877,Multi-Agent Reinforcement Learning;Graph Neural Networks;Building Structure Optimization;MultiObjective Optimization;Intelligent Construction,Optimization;Modeling;Construction;Timing;Printing;Sustainable development;Materials;Design methodology;Graph neural networks;Reinforcement learning,,,,15.0,IEEE,13 May 2026,20-22 March 2026,20-22 March 2026,IEEE,IEEE Conferences,S1-2D IEEE.csv
Prediction Of Housing Price Along The Urban Rail Transit Line Based On GA-BP Model And Accessibility,L. Ruo-Qi; H. Jun-Hong,"Nanjing Tech University School of Transportation Engineering, Nanjing, China; Nanjing Tech University School of Transportation Engineering, Nanjing, China",2020 IEEE 5th International Conference on Intelligent Transportation Engineering (ICITE),20 Oct 2020,2020,,,487,492,"In order to study the relationship between the accessibility along the urban rail transit line and the change in housing price, GA-BP model, which combining the genetic algorithm(GA) and back propagation neural network(BPNN), was used to predict the housing price along the urban rail transit line. The reliability of the model was verified by taking the price of residential areas along Nanjing Metro Line 10 as an example, and the performance between GA-BP model and the BP model was compared. It was found that the average absolute error rate of GA-BP model is 6.91%, which is 6.45% lower than that of BP model, and the mean square error of prediction results is significantly reduced. It can be seen that the price prediction algorithm based on GA-BP model for those residential areas along the urban rail transit line is reliable and can fully tap the potential relationship between the accessibility of urban transport network and the housing price.",,978-1-7281-9409-7,10.1109/ICITE50838.2020.9231460,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9231460,urban rail transit;prediction of housing price;accessibility;GA-BP model,Rails;Predictive models;Green products;Urban areas;Buildings;Statistics;Sociology,,5.0,,14.0,IEEE,20 Oct 2020,11-13 Sept. 2020,11-13 Sept. 2020,IEEE,IEEE Conferences,S1-2D IEEE.csv
Classification of urban structural types with multisource data and structured models,A. P. Montanges; G. Moser; H. Taubenböck; M. Wurm; D. Tuia,"EPFL, Lausanne, Switzerland; University of Genoa, Genoa, Italy; German Aerospace Center (DLR), Munich, Germany; German Aerospace Center (DLR), Munich, Germany; University of Zurich, Zurich, Switzerland",2015 Joint Urban Remote Sensing Event (JURSE),11 Jun 2015,2015,,,1,4,"In this paper, we study the land use distribution of the city of Munich, Germany. We describe the city as a set of Urban Structural Types (UST) related to the type of spatial patterns occurring within regions composed of 200m side cells. To do so, we resort to a set of multimodal descriptors extracted from remote sensing data, a 3D city model and open access vector information. Based on these descriptors, we train a SVM classifier and apply two structured prediction models to enforce spatial relationships (Markov and Conditional Random fields).",2334-0932,978-1-4799-6652-3,10.1109/JURSE.2015.7120489,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7120489,,Cities and towns;Remote sensing;Support vector machines;Markov processes;Buildings;Solid modeling;Urban areas,,23.0,,26.0,IEEE,11 Jun 2015,30 March-1 April 2015,30 March-1 April 2015,IEEE,IEEE Conferences,S1-2D IEEE.csv
Amplification Coefficient Prediction and Elastic-Plastic Analysis of High-Rise Concrete Structure Based on Artificial Neural Network,G. Zhang; L. Liang,"School of Construction Engineering Management, Guangdong Construction Polytechnic, Qingyuan, China; The Department of Building Economics and Management, Guangzhou Urban Construction Vocational School, Guangzhou, China",2024 8th Asian Conference on Artificial Intelligence Technology (ACAIT),10 Jun 2025,2024,,,312,317,"Due to the difficulty of data acquisition and model construction, the current prediction amplification coefficient of high-rise concrete structures are often difficult to achieve such accuracy requirements. In order to improve the accuracy of the prediction, the paper applied the artificial neural network to the concrete structure of high-rise buildings to predict the key coefficients, and conducted the static elastic-plastic analysis. The results show that the amplification coefficient of structural stiffness predicted by coefficient of determination of 0.92, R predicted by the equivalent size amplification coefficient coefficient of determination value is 0.97. The relative error of the vertex displacement for both the output coefficient is within 1%, and the designed model has a good prediction accuracy. The accuracy and performance of the model are better, which helps to more accurately evaluate the behavior and safety of the building structures. This also supports that the structural research of high-rise buildings can be more efficient and provides the possibility of economic and safe development.",,979-8-3315-1709-0,10.1109/ACAIT63902.2024.11022215,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11022215,Concrete structure;elastic-plastic;Artificial neural network,Accuracy;Force;Buildings;Artificial neural networks;Predictive models;Software;Robustness;Safety;Floors;Load modeling,,,,18.0,IEEE,10 Jun 2025,8-10 Nov. 2024,8-10 Nov. 2024,IEEE,IEEE Conferences,S1-2D IEEE.csv
Building Extraction by Gated Graph Convolutional Neural Network with Deep Structured Feature Embedding,Y. Shi; Q. Li; X. X. Zhu,"Chair of Remote Sensing Technology (LMF), Technical University of Munich, Munich, Germany; Signal Processing in Earth Observation (SiPEO), Technical University of Munich, Munich, Germany; Remote Sensing Technology Institute (IMF), German Aerospace Center (DLR), Wessling, Germany",IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,17 Feb 2021,2020,,,3509,3512,"Building footprint information is an essential ingredient for 3-D reconstruction of urban models. The automatic generation of building footprints from satellite images presents a considerable challenge due to the complexity of building shapes. Recent developments in deep convolutional neural networks (DCNNs) have enabled accurate pixel-level labeling tasks. One central issue remains, which is the precise delineation of boundaries. Deep architectures generally fail to produce fine-grained segmentation with accurate boundaries due to progressive downsampling. In this work, we we introduce a generic framework to overcome the issue, integrating the gated graph convolutional network (GGCN) and deep structured feature embedding (DSFE) into an end-to-end workflow.",2153-7003,978-1-7281-6374-1,10.1109/IGARSS39084.2020.9324478,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9324478,Building footprint;Deep convolutional neural networks;Gated graph convolutional network,Buildings;Logic gates;Semantics;Feature extraction;Convolution;Task analysis;Decoding,,2.0,,12.0,IEEE,17 Feb 2021,26 Sept.-2 Oct. 2020,26 Sept.-2 Oct. 2020,IEEE,IEEE Conferences,S1-2D IEEE.csv
Displacement and Velocity Estimation in Building Structures Using an Algebraic Observer,J. Morales-Valdez; J. D. Avilés; M. Ramírez-Neria; L. R. Sagredo-Hernández,"Colegio de Ciencia y Tecnología, Academia de Ingeniería en Sistemas Electrónicos Industriales, Universidad Autónoma de la Ciudad de México, Mexico City, Mexico; Departamento de Mecatrónica, Facultad de Ciencias de la Ingeniería, Administrativas y Sociales Tecate, Universidad Autónoma de Baja California, Tecate, Mexico; InIAT Institute of Applied Research and Technology, Universidad Iberoamericana Ciudad de México, Mexico City, Mexico; Colegio de Ciencia y Tecnología, Academia de Ingeniería en Sistemas Electrónicos Industriales, Universidad Autónoma de la Ciudad de México, Mexico City, Mexico",IEEE Access,15 May 2024,2024,12,,67094,67106,"This study addresses the problem of estimating the velocity and displacement of building structures. Initially, the dynamics of a building subject to seismic disturbance are represented using the Euler-Bernoulli beam model. Subsequently, the model is discretized into a finite number of floors through a modal coordinate transformation that produces a set of decoupled dynamics for each story of the building. The Algebraic Observer (AO) takes advantage of this property to ensure the Algebraic Observability Conditions (AOC). This approach allows the representation of velocity and displacement terms as functions of the available acceleration measurements. One notable advantage of the proposed observer is that, due to its design, it does not require tuning of gains to achieve the convergence property. This observer’s simplicity of implementation for practical purposes is another noteworthy characteristic. Note that, to minimize the effect of the measurement noise, iterated integrals of the measured acceleration are introduced to mitigate high-frequency noise. In contrast, second-order filters are employed for low-frequency noise. Finally, the experimental demonstration of the effectiveness and accuracy of this estimation method is conducted using a reduced-scale five-story building prototype.",2169-3536,,10.1109/ACCESS.2024.3398053,Universidad Autónoma de la Ciudad de México(grant numbers:UACM CCYT-2023-INI-02); Universidad Iberoamericana Ciudad de México(grant numbers:DINVP-051); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10522641,Algebraic observer;acceleration measurement;building structure;state estimation,Observers;Buildings;Noise measurement;Accelerometers;Uncertainty;Seismic measurements;Observability;State estimation;Estimation;Structural engineering,,1.0,,51.0,CCBY,8 May 2024,2024,,IEEE,IEEE Journals,S1-2D IEEE.csv
